a1_1;a1_2;a2_1;a2_2;a3_1;a4_1;a4_2;a5_1;a5_2;a5_3;a6_1;class_1
1;0;1;0;1;1;0;1;0;0;0;1
1;0;1;0;1;1;0;0;1;0;0;1
1;0;1;0;1;1;0;0;0;1;1;0
1;0;1;0;1;1;0;0;0;0;1;0
1;0;1;0;1;0;1;1;0;0;1;1
1;0;1;0;1;0;1;0;1;0;0;1
1;0;1;0;1;0;1;0;0;0;0;0
1;0;1;0;0;1;0;0;0;0;0;0
1;0;1;0;0;0;1;0;1;0;0;1
1;0;1;0;0;0;1;0;0;0;1;0
1;0;1;0;0;0;1;0;0;0;0;0
1;0;1;0;0;0;0;1;0;0;1;1
1;0;1;0;0;0;0;1;0;0;0;1
1;0;1;0;0;0;0;0;0;1;1;1
1;0;1;0;0;0;0;0;0;1;0;1
1;0;0;1;1;1;0;0;0;1;1;1
1;0;0;1;1;0;1;0;1;0;1;1
1;0;0;1;1;0;1;0;1;0;0;1
1;0;0;1;1;0;1;0;0;1;1;0
1;0;0;1;1;0;0;1;0;0;1;1
1;0;0;1;1;0;0;1;0;0;0;1
1;0;0;1;1;0;0;0;1;0;1;1
1;0;0;1;1;0;0;0;0;1;0;1
1;0;0;1;1;0;0;0;0;0;1;0
1;0;0;1;0;1;0;0;0;0;0;0
1;0;0;1;0;0;1;1;0;0;1;1
1;0;0;1;0;0;1;0;1;0;1;1
1;0;0;1;0;0;1;0;1;0;0;1
1;0;0;1;0;0;0;1;0;0;1;1
1;0;0;1;0;0;0;0;1;0;1;1
1;0;0;1;0;0;0;0;1;0;0;1
1;0;0;0;1;1;0;0;1;0;1;0
1;0;0;0;1;1;0;0;0;0;1;0
1;0;0;0;1;0;1;0;0;1;0;0
1;0;0;0;1;0;1;0;0;0;1;0
1;0;0;0;1;0;0;1;0;0;1;0
1;0;0;0;1;0;0;0;0;1;1;0
1;0;0;0;0;1;0;1;0;0;1;0
1;0;0;0;0;1;0;1;0;0;0;0
1;0;0;0;0;1;0;0;1;0;1;0
1;0;0;0;0;1;0;0;0;0;0;0
1;0;0;0;0;0;1;0;0;1;0;0
1;0;0;0;0;0;0;0;0;0;1;0
0;1;1;0;1;1;0;1;0;0;1;1
0;1;1;0;1;1;0;1;0;0;0;1
0;1;1;0;1;0;1;1;0;0;1;1
0;1;1;0;1;0;1;1;0;0;0;1
0;1;1;0;1;0;0;0;1;0;0;1
0;1;1;0;1;0;0;0;0;1;0;1
0;1;1;0;1;0;0;0;0;0;1;0
0;1;1;0;0;0;1;0;0;0;1;0
0;1;1;0;0;0;0;1;0;0;0;1
0;1;0;1;1;1;0;0;0;1;0;1
0;1;0;1;1;1;0;0;0;0;0;0
0;1;0;1;1;0;1;1;0;0;0;1
0;1;0;1;1;0;1;0;1;0;1;0
0;1;0;1;1;0;0;1;0;0;1;1
0;1;0;1;1;0;0;0;1;0;0;1
0;1;0;1;1;0;0;0;0;1;1;0
0;1;0;1;1;0;0;0;0;1;0;0
0;1;0;1;1;0;0;0;0;0;0;0
0;1;0;1;0;1;0;0;1;0;0;1
0;1;0;1;0;0;1;1;0;0;0;1
0;1;0;1;0;0;1;0;0;1;1;1
0;1;0;0;1;1;0;0;0;1;1;1
0;1;0;0;1;0;1;1;0;0;1;0
0;1;0;0;1;0;1;0;1;0;1;0
0;1;0;0;1;0;1;0;1;0;0;0
0;1;0;0;1;0;1;0;0;1;0;0
0;1;0;0;1;0;0;0;0;1;1;0
0;1;0;0;0;1;0;1;0;0;0;0
0;1;0;0;0;1;0;0;1;0;0;0
0;1;0;0;0;1;0;0;0;0;1;0
0;1;0;0;0;0;1;0;0;1;1;0
0;1;0;0;0;0;1;0;0;0;0;0
0;1;0;0;0;0;0;1;0;0;1;0
0;1;0;0;0;0;0;0;1;0;1;0
0;1;0;0;0;0;0;0;0;0;0;0
0;0;1;0;1;1;0;1;0;0;1;1
0;0;1;0;1;1;0;0;1;0;1;1
0;0;1;0;1;1;0;0;0;1;1;1
0;0;1;0;1;0;1;0;0;0;0;0
0;0;1;0;1;0;0;1;0;0;0;1
0;0;1;0;1;0;0;0;0;0;0;0
0;0;1;0;0;1;0;0;1;0;1;1
0;0;1;0;0;0;1;0;0;0;0;0
0;0;1;0;0;0;0;1;0;0;1;1
0;0;0;1;1;1;0;0;1;0;0;1
0;0;0;1;1;1;0;0;0;0;1;0
0;0;0;1;1;0;1;0;0;1;1;1
0;0;0;1;1;0;0;1;0;0;0;1
0;0;0;1;0;1;0;0;1;0;0;1
0;0;0;1;0;1;0;0;0;1;0;1
0;0;0;1;0;0;1;1;0;0;0;1
0;0;0;1;0;0;0;1;0;0;1;1
0;0;0;1;0;0;0;0;0;1;0;1
0;0;0;1;0;0;0;0;0;0;1;0
0;0;0;0;1;1;0;0;0;1;0;1
0;0;0;0;1;1;0;0;0;0;1;1
0;0;0;0;1;0;0;1;0;0;1;0
0;0;0;0;1;0;0;0;1;0;1;0
0;0;0;0;1;0;0;0;1;0;0;0
0;0;0;0;1;0;0;0;0;0;1;0
0;0;0;0;0;1;0;1;0;0;1;0
0;0;0;0;0;1;0;1;0;0;0;0
0;0;0;0;0;0;1;0;1;0;0;0
0;0;0;0;0;0;1;0;0;1;0;0
0;0;0;0;0;0;0;1;0;0;1;0
0;0;0;0;0;0;0;0;0;1;0;0
0;0;0;0;0;0;0;0;0;0;0;0
